similarity(%)	image name	time and date
99 %	h.jpg	23/03/2019 18:46:06
1 %	20190320_110950.jpg	23/03/2019 18:46:06
1 %	20190320_110850.jpg	23/03/2019 18:46:06
1 %	20190320_110926.jpg	23/03/2019 18:46:06
0 %	20190320_111132.jpg	23/03/2019 18:46:06
0 %	20190322_094006.jpg	23/03/2019 18:46:06
0 %	20190322_094012.jpg	23/03/2019 18:46:06
0 %	20190320_111319.jpg	23/03/2019 18:46:06
0 %	20190320_111047.jpg	23/03/2019 18:46:06
0 %	20190322_093839.jpg	23/03/2019 18:46:06
0 %	20190322_093811.jpg	23/03/2019 18:46:06
0 %	20190322_094159.jpg	23/03/2019 18:46:06
0 %	20190320_111246.jpg	23/03/2019 18:46:06
0 %	20190320_111336.jpg	23/03/2019 18:46:06
0 %	20190322_093747.jpg	23/03/2019 18:46:06
0 %	20190322_094001.jpg	23/03/2019 18:46:06
0 %	20190320_111243.jpg	23/03/2019 18:46:06
0 %	diff.jpg	23/03/2019 18:46:06
0 %	20190322_093815.jpg	23/03/2019 18:46:06
0 %	20190322_093803.jpg	23/03/2019 18:46:06
0 %	20190322_093817.jpg	23/03/2019 18:46:06
0 %	20190322_094003.jpg	23/03/2019 18:46:06
0 %	20190320_111056.jpg	23/03/2019 18:46:06
0 %	20190322_094105.jpg	23/03/2019 18:46:06
0 %	20190322_093736.jpg	23/03/2019 18:46:06
0 %	20190320_222522.jpg	23/03/2019 18:46:06
0 %	20190322_093938.jpg	23/03/2019 18:46:06
0 %	20190320_111018.jpg	23/03/2019 18:46:06
0 %	20190322_093912.jpg	23/03/2019 18:46:06
0 %	20190322_093907.jpg	23/03/2019 18:46:06
0 %	20190320_111341.jpg	23/03/2019 18:46:06
0 %	20190322_093903.jpg	23/03/2019 18:46:06
0 %	20190320_111156.jpg	23/03/2019 18:46:06
0 %	20190320_111354.jpg	23/03/2019 18:46:06
0 %	20190322_093850.jpg	23/03/2019 18:46:06
0 %	20190320_110939.jpg	23/03/2019 18:46:06
0 %	20190322_093930.jpg	23/03/2019 18:46:06
0 %	20190322_094051.jpg	23/03/2019 18:46:06
0 %	20190320_111207.jpg	23/03/2019 18:46:06
0 %	20190320_111005.jpg	23/03/2019 18:46:06
0 %	20190320_111007.jpg	23/03/2019 18:46:06
0 %	20190322_093927.jpg	23/03/2019 18:46:06
0 %	20190322_094132.jpg	23/03/2019 18:46:06
0 %	20190320_222458.jpg	23/03/2019 18:46:06
0 %	20190322_093704.jpg	23/03/2019 18:46:06
0 %	20190320_222511.jpg	23/03/2019 18:46:06
0 %	20190322_094123.jpg	23/03/2019 18:46:06
0 %	20190322_094040.jpg	23/03/2019 18:46:06
0 %	20190322_093934.jpg	23/03/2019 18:46:06
0 %	20190320_110901.jpg	23/03/2019 18:46:06
0 %	20190320_111404.jpg	23/03/2019 18:46:06
0 %	20190320_111028.jpg	23/03/2019 18:46:06
0 %	20190322_094026.jpg	23/03/2019 18:46:06
0 %	20190320_111106.jpg	23/03/2019 18:46:06
0 %	20190320_111304.jpg	23/03/2019 18:46:06
0 %	20190322_093832.jpg	23/03/2019 18:46:06
0 %	20190322_093944.jpg	23/03/2019 18:46:06
0 %	20190322_093950.jpg	23/03/2019 18:46:06
0 %	20190322_094030.jpg	23/03/2019 18:46:06
0 %	20190322_094019.jpg	23/03/2019 18:46:06
0 %	20190322_094227.jpg	23/03/2019 18:46:06
0 %	20190322_094151.jpg	23/03/2019 18:46:06
0 %	20190322_093825.jpg	23/03/2019 18:46:06
0 %	20190322_094141.jpg	23/03/2019 18:46:06
0 %	20190322_094009.jpg	23/03/2019 18:46:06
0 %	20190322_094156.jpg	23/03/2019 18:46:06
0 %	20190322_094234.jpg	23/03/2019 18:46:06
0 %	20190320_111329.jpg	23/03/2019 18:46:06
0 %	20190322_094355.jpg	23/03/2019 18:46:06
similarity(%)	image name	time and date
7 %	butterfly.jpg	23/03/2019 19:12:11
1 %	memory.jpg	23/03/2019 19:12:11
0 %	likeblack.jpg	23/03/2019 19:12:11
0 %	rose.jpg	23/03/2019 19:12:11
0 %	arabic.jpg	23/03/2019 19:12:11
0 %	the_100.jpg	23/03/2019 19:12:11
0 %	malcomx.jpg	23/03/2019 19:12:11
0 %	life.JPEG	23/03/2019 19:12:11
0 %	prayer.jpg	23/03/2019 19:12:11
0 %	unnamed.jpg	23/03/2019 19:12:11
0 %	sherlock.jpg	23/03/2019 19:12:11
0 %	madam.jpg	23/03/2019 19:12:11
0 %	condame.jpg	23/03/2019 19:12:11
0 %	unnamed-1.jpg	23/03/2019 19:12:11
similarity(%)	image name	time and date
1 %	butterfly.jpg	23/03/2019 19:13:10
0 %	likeblack.jpg	23/03/2019 19:13:10
0 %	rose.jpg	23/03/2019 19:13:10
0 %	arabic.jpg	23/03/2019 19:13:10
0 %	the_100.jpg	23/03/2019 19:13:10
0 %	malcomx.jpg	23/03/2019 19:13:10
0 %	life.JPEG	23/03/2019 19:13:10
0 %	prayer.jpg	23/03/2019 19:13:10
0 %	unnamed.jpg	23/03/2019 19:13:10
0 %	sherlock.jpg	23/03/2019 19:13:10
0 %	madam.jpg	23/03/2019 19:13:10
0 %	memory.jpg	23/03/2019 19:13:10
0 %	condame.jpg	23/03/2019 19:13:10
0 %	unnamed-1.jpg	23/03/2019 19:13:10
similarity(%)	image name	time and date
0 %	likeblack.jpg	23/03/2019 19:14:10
0 %	rose.jpg	23/03/2019 19:14:10
0 %	arabic.jpg	23/03/2019 19:14:10
0 %	the_100.jpg	23/03/2019 19:14:10
0 %	butterfly.jpg	23/03/2019 19:14:10
0 %	malcomx.jpg	23/03/2019 19:14:10
0 %	life.JPEG	23/03/2019 19:14:10
0 %	prayer.jpg	23/03/2019 19:14:10
0 %	unnamed.jpg	23/03/2019 19:14:10
0 %	sherlock.jpg	23/03/2019 19:14:10
0 %	madam.jpg	23/03/2019 19:14:10
0 %	memory.jpg	23/03/2019 19:14:10
0 %	condame.jpg	23/03/2019 19:14:10
0 %	unnamed-1.jpg	23/03/2019 19:14:10
similarity(%)	image name	time and date
1 %	condame.jpg	23/03/2019 19:14:51
0 %	likeblack.jpg	23/03/2019 19:14:51
0 %	rose.jpg	23/03/2019 19:14:51
0 %	arabic.jpg	23/03/2019 19:14:51
0 %	the_100.jpg	23/03/2019 19:14:51
0 %	butterfly.jpg	23/03/2019 19:14:51
0 %	malcomx.jpg	23/03/2019 19:14:51
0 %	life.JPEG	23/03/2019 19:14:51
0 %	prayer.jpg	23/03/2019 19:14:51
0 %	unnamed.jpg	23/03/2019 19:14:51
0 %	sherlock.jpg	23/03/2019 19:14:51
0 %	madam.jpg	23/03/2019 19:14:51
0 %	memory.jpg	23/03/2019 19:14:51
0 %	unnamed-1.jpg	23/03/2019 19:14:51
similarity(%)	image name	time and date
0 %	likeblack.jpg	23/03/2019 19:15:53
0 %	rose.jpg	23/03/2019 19:15:53
0 %	arabic.jpg	23/03/2019 19:15:53
0 %	the_100.jpg	23/03/2019 19:15:53
0 %	butterfly.jpg	23/03/2019 19:15:53
0 %	malcomx.jpg	23/03/2019 19:15:53
0 %	life.JPEG	23/03/2019 19:15:53
0 %	prayer.jpg	23/03/2019 19:15:53
0 %	unnamed.jpg	23/03/2019 19:15:53
0 %	sherlock.jpg	23/03/2019 19:15:53
0 %	madam.jpg	23/03/2019 19:15:53
0 %	memory.jpg	23/03/2019 19:15:53
0 %	condame.jpg	23/03/2019 19:15:53
0 %	unnamed-1.jpg	23/03/2019 19:15:53
similarity(%)	image name	time and date
0 %	likeblack.jpg	23/03/2019 19:16:17
0 %	rose.jpg	23/03/2019 19:16:17
0 %	arabic.jpg	23/03/2019 19:16:17
0 %	the_100.jpg	23/03/2019 19:16:17
0 %	butterfly.jpg	23/03/2019 19:16:17
0 %	malcomx.jpg	23/03/2019 19:16:17
0 %	life.JPEG	23/03/2019 19:16:17
0 %	prayer.jpg	23/03/2019 19:16:17
0 %	unnamed.jpg	23/03/2019 19:16:17
0 %	sherlock.jpg	23/03/2019 19:16:17
0 %	madam.jpg	23/03/2019 19:16:17
0 %	memory.jpg	23/03/2019 19:16:17
0 %	condame.jpg	23/03/2019 19:16:17
0 %	unnamed-1.jpg	23/03/2019 19:16:17
similarity(%)	image name	time and date
0 %	likeblack.jpg	23/03/2019 19:17:05
0 %	rose.jpg	23/03/2019 19:17:05
0 %	arabic.jpg	23/03/2019 19:17:05
0 %	the_100.jpg	23/03/2019 19:17:05
0 %	butterfly.jpg	23/03/2019 19:17:05
0 %	malcomx.jpg	23/03/2019 19:17:05
0 %	life.JPEG	23/03/2019 19:17:05
0 %	prayer.jpg	23/03/2019 19:17:05
0 %	unnamed.jpg	23/03/2019 19:17:05
0 %	sherlock.jpg	23/03/2019 19:17:05
0 %	madam.jpg	23/03/2019 19:17:05
0 %	memory.jpg	23/03/2019 19:17:05
0 %	condame.jpg	23/03/2019 19:17:05
0 %	unnamed-1.jpg	23/03/2019 19:17:05
similarity(%)	image name	time and date
0 %	likeblack.jpg	23/03/2019 19:17:27
0 %	rose.jpg	23/03/2019 19:17:27
0 %	arabic.jpg	23/03/2019 19:17:27
